OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV129,JER,MO,0.023032281, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,JER,DA,0.020960366, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,JER,LA,0.019359299, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,LA,0.035865449, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,DA,0.026896552, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,CL,0.020222864, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,PT,0.018836333, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV129,WHS,MO,0.012758061, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Coleofasciculus,Coleofasciculus cf chthonoplastes
ASV13,AMT,DA,0.13536513, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,AMT,PT,0.106259746, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,AMT,CL,0.103135889, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,AMT,LA,0.100400759, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,AMT,MO,0.082018927, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,JER,MO,0.066013783, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,JER,PT,0.057648661, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,JER,DA,0.056783537, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,JER,CL,0.052875849, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,JER,LA,0.050241991, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,WHS,MO,0.042449548, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,WHS,PT,0.031603181, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,WHS,DA,0.031494253, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,WHS,LA,0.028514146, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV13,WHS,CL,0.025588114, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Pycnacronema,Pycnacronema sp.
ASV1311,VOL,MO,0.011315789, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Aerosakkonema)
ASV137,AMT,MO,0.064931651, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,AMT,CL,0.041347271, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,AMT,PT,0.03853865, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,AMT,DA,0.025331486, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,AMT,LA,0.022147226, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,JER,MO,0.068371418, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,JER,DA,0.051448171, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,JER,CL,0.044588099, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,JER,LA,0.03964047, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV137,JER,PT,0.039491602, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV139,AMT,PT,0.03853865, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,AMT,CL,0.031591173, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,AMT,DA,0.025331486, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
ASV139,AMT,MO,0.012092534, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 59)
