Point,Site,TopCanopy,Code1,Code2,Code3,SoilSurface
15,Whs2,,,,,Collema
15.2,Whs2,,,,,Pelt
15.4,Whs2,,,,,Clav
15.6,Whs2,,,,,Clav
15.8,Whs2,,,,,Clav/PC
16,Whs2,UKF1,,,,Clav
16.2,Whs2,,,,,Pelt
16.4,Whs2,,,,,DAC
16.6,Whs2,,,,,Clav
16.8,Whs2,,,,,Clav
17,Whs2,,,,,Clav
17.2,Whs2,,,,,LAC
17.4,Whs2,,,,,UKG1
17.6,Whs2,,,,,Clav
17.8,Whs2,,,,,Clav
18,Whs2,,,,,Pelt
18.2,Whs2,,,,,Pelt
18.4,Whs2,,,,,IC
18.6,Whs2,,,,,LAC
18.8,Whs2,,,,,DAC
19,Whs2,UKF1,,,,DAC
19.2,Whs2,,,,,LAC
19.4,Whs2,,,,,EL
19.6,Whs2,,,,,DAC
19.8,Whs2,,,,,Clav
20,Whs2,,,,,Clav
20.2,Whs2,,,,,LAC
20.4,Whs2,,,,,Clav
20.6,Whs2,,,,,DAC
20.8,Whs2,,,,WL,LAC
21,Whs2,UKG2,,,,EL
21.2,Whs2,,,,,EL
21.4,Whs2,,,,,DAC
21.6,Whs2,,,,,EL
21.8,Whs2,,,,,UKG2
22,Whs2,,,,,Clav
22.2,Whs2,,,,,DAC
22.4,Whs2,,,,,DAC
22.6,Whs2,,,,,Clav
22.8,Whs2,,,,,Clav
23,Whs2,UKG1,,,,DAC
23.2,Whs2,UKG1,,,,LAC
23.4,Whs2,,,,WL,LAC
23.6,Whs2,,,,,LAC
23.8,Whs2,,,,,LAC
24,Whs2,,,,,LAC
24.2,Whs2,,,,,Clav
24.4,Whs2,,,,,LAC/PC
24.6,Whs2,,,,,Pelt
24.8,Whs2,,,,,Clav
25,Whs2,,,,,LAC
25.2,Whs2,,,,,LAC
25.4,Whs2,,,,,Pelt
25.6,Whs2,,,,,Clav
25.8,Whs2,,,,,LAC
26,Whs2,,,,,Clav
26.2,Whs2,,,,,LAC
26.4,Whs2,,,,,EL
26.6,Whs2,,,,,Clav
26.8,Whs2,Cruc1,,,,LAC
27,Whs2,Cruc1,,,,Clav
27.2,Whs2,,,,HL,UKG1
27.4,Whs2,,,,HL,LAC
27.6,Whs2,,,,,LAC
27.8,Whs2,,,,,DAC
28,Whs2,,,,,Clav
28.2,Whs2,,,,,LAC
28.4,Whs2,,,,HL,LAC
28.6,Whs2,UKG1,,,,LAC
28.8,Whs2,,,,,LAC
29,Whs2,,,,,LAC
29.2,Whs2,,,,HL,LAC
29.4,Whs2,,,,HL,LAC
29.6,Whs2,,,,,IC
29.8,Whs2,Cruc1,,,,LAC
30,Whs2,,,,,LAC
