Site,Type,Biomass,Amount,Percent
JER,MO,GramPosBiomassA,521.84,9.34
JER,MO,UndifferentiatedBiomass,3049.31,54.59
VOL,LA,GramPosBiomass,542.89,8.79
VOL,LA,TotalBacteriaBiomass,2716.68,43.98
VOL,LA,ActinomycetesBiomass,98.62,1.6
VOL,LA,GramNegBiomass,2075.18,33.59
VOL,LA,RhizobiaBiomass,0,0
VOL,LA,TotalFungiBiomass,1313.84,21.27
VOL,LA,ArbuscularMycorrhizalBiomass,173.55,2.81
VOL,LA,SaprophytesBiomass,1140.29,18.46
VOL,LA,ProtozoaBiomass,0,0
VOL,LA,GramPosBiomassA,641.51,10.39
VOL,LA,UndifferentiatedBiomass,2146.61,34.75
VOL,DA,GramPosBiomass,118.12,5.48
VOL,DA,TotalBacteriaBiomass,935.85,43.44
VOL,DA,ActinomycetesBiomass,8.58,0.4
VOL,DA,GramNegBiomass,809.15,37.56
VOL,DA,RhizobiaBiomass,0,0
VOL,DA,TotalFungiBiomass,465.05,21.59
VOL,DA,ArbuscularMycorrhizalBiomass,51.22,2.38
VOL,DA,SaprophytesBiomass,413.83,19.21
VOL,DA,ProtozoaBiomass,0,0
VOL,DA,GramPosBiomassA,126.7,5.88
VOL,DA,UndifferentiatedBiomass,753.24,34.97
VOL,PT,GramPosBiomass,1182.24,6.91
VOL,PT,TotalBacteriaBiomass,5852.53,34.23
VOL,PT,ActinomycetesBiomass,93.99,0.55
VOL,PT,GramNegBiomass,4576.29,26.76
VOL,PT,RhizobiaBiomass,0,0
VOL,PT,TotalFungiBiomass,5542.04,32.41
VOL,PT,ArbuscularMycorrhizalBiomass,405.68,2.37
VOL,PT,SaprophytesBiomass,5136.36,30.04
VOL,PT,ProtozoaBiomass,11.3,0.07
VOL,PT,GramPosBiomassA,1276.23,7.46
VOL,PT,UndifferentiatedBiomass,5694.25,33.3
VOL,CL,GramPosBiomass,459.66,4.91
VOL,CL,TotalBacteriaBiomass,2748.09,29.31
VOL,CL,ActinomycetesBiomass,71.6,0.76
VOL,CL,GramNegBiomass,2216.83,23.64
VOL,CL,RhizobiaBiomass,0,0
VOL,CL,TotalFungiBiomass,3824.44,40.79
VOL,CL,ArbuscularMycorrhizalBiomass,188.19,2.01
VOL,CL,SaprophytesBiomass,3636.25,38.78
VOL,CL,ProtozoaBiomass,0,0
VOL,CL,GramPosBiomassA,531.26,5.67
VOL,CL,UndifferentiatedBiomass,2802.97,29.9
VOL,MO,GramPosBiomass,1731.61,6.2
VOL,MO,TotalBacteriaBiomass,3254.7,11.64
VOL,MO,ActinomycetesBiomass,102.01,0.36
VOL,MO,GramNegBiomass,1421.07,5.08
VOL,MO,RhizobiaBiomass,0,0
VOL,MO,TotalFungiBiomass,7363.67,26.33
VOL,MO,ArbuscularMycorrhizalBiomass,342.12,1.22
VOL,MO,SaprophytesBiomass,7021.55,25.11
VOL,MO,ProtozoaBiomass,1696.93,6.07
VOL,MO,GramPosBiomassA,1833.62,6.56
VOL,MO,UndifferentiatedBiomass,15648.27,55.96
WHS,LA,GramPosBiomass,408.58,27.44
WHS,LA,TotalBacteriaBiomass,1088.73,73.13
WHS,LA,ActinomycetesBiomass,188.86,12.69
WHS,LA,GramNegBiomass,491.29,33
WHS,LA,RhizobiaBiomass,0,0
WHS,LA,TotalFungiBiomass,136.17,9.15
WHS,LA,ArbuscularMycorrhizalBiomass,0,0
WHS,LA,SaprophytesBiomass,136.17,9.15
WHS,LA,ProtozoaBiomass,0,0
WHS,LA,GramPosBiomassA,597.44,40.13
WHS,LA,UndifferentiatedBiomass,263.83,17.72
WHS,DA,GramPosBiomass,553.77,23.88
WHS,DA,TotalBacteriaBiomass,1651.15,71.22
WHS,DA,ActinomycetesBiomass,239.45,10.33
WHS,DA,GramNegBiomass,857.93,37
WHS,DA,RhizobiaBiomass,0,0
WHS,DA,TotalFungiBiomass,185.71,8.01
WHS,DA,ArbuscularMycorrhizalBiomass,0,0
WHS,DA,SaprophytesBiomass,185.71,8.01
WHS,DA,ProtozoaBiomass,0,0
WHS,DA,GramPosBiomassA,793.22,34.21
WHS,DA,UndifferentiatedBiomass,481.68,20.78
WHS,PT,GramPosBiomass,501.32,24.2
WHS,PT,TotalBacteriaBiomass,1410.76,68.1
WHS,PT,ActinomycetesBiomass,120.78,5.83
WHS,PT,GramNegBiomass,788.66,38.07
WHS,PT,RhizobiaBiomass,0,0
WHS,PT,TotalFungiBiomass,309.14,14.92
WHS,PT,ArbuscularMycorrhizalBiomass,18.53,0.89
WHS,PT,SaprophytesBiomass,290.6,14.03
WHS,PT,ProtozoaBiomass,0,0
WHS,PT,GramPosBiomassA,622.1,30.03
WHS,PT,UndifferentiatedBiomass,351.69,16.98
WHS,CL,GramPosBiomass,801.88,21.72
WHS,CL,TotalBacteriaBiomass,2451.19,66.41
WHS,CL,ActinomycetesBiomass,288.62,7.82
WHS,CL,GramNegBiomass,1360.69,36.86
WHS,CL,RhizobiaBiomass,0,0
WHS,CL,TotalFungiBiomass,853.95,23.14
WHS,CL,ArbuscularMycorrhizalBiomass,182.15,4.93
WHS,CL,SaprophytesBiomass,671.81,18.2
WHS,CL,ProtozoaBiomass,6.87,0.19
WHS,CL,GramPosBiomassA,1090.5,29.54
WHS,CL,UndifferentiatedBiomass,379.13,10.27
WHS,MO,GramPosBiomass,1273.78,27.34
WHS,MO,TotalBacteriaBiomass,3098.61,66.53
WHS,MO,ActinomycetesBiomass,326.4,7.01
WHS,MO,GramNegBiomass,1498.42,32.17
WHS,MO,RhizobiaBiomass,0,0
WHS,MO,TotalFungiBiomass,715.9,15.37
WHS,MO,ArbuscularMycorrhizalBiomass,165.24,3.55
WHS,MO,SaprophytesBiomass,550.66,11.82
WHS,MO,ProtozoaBiomass,56.92,1.22
WHS,MO,GramPosBiomassA,1600.18,34.35
WHS,MO,UndifferentiatedBiomass,786.4,16.88
AMT,LA,Total Biomass,1472.64,
AMT,LA,DiversityIndex,1.051,
AMT,LA,Fungi:Bacteria,0.3406,
AMT,LA,Predator:Prey,ALL PREY,
AMT,LA,Gram(+):Gram(-),0.2344,
AMT,LA,Sat:Unsat,0.8482,
AMT,LA,Mono:Poly,11.4802,
AMT,LA,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
AMT,LA,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
AMT,DA,Total Biomass,2312.65,
AMT,DA,DiversityIndex,1.193,
AMT,DA,Fungi:Bacteria,0.2389,
AMT,DA,Predator:Prey,ALL PREY,
AMT,DA,Gram(+):Gram(-),0.4774,
AMT,DA,Sat:Unsat,2.0022,
AMT,DA,Mono:Poly,11.9668,
AMT,DA,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
AMT,DA,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
AMT,PT,Total Biomass,7508.81,
AMT,PT,DiversityIndex,1.227,
AMT,PT,Fungi:Bacteria,0.44,
AMT,PT,Predator:Prey,ALL PREY,
AMT,PT,Gram(+):Gram(-),0.3773,
AMT,PT,Sat:Unsat,0.923,
AMT,PT,Mono:Poly,7.7217,
AMT,PT,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
AMT,PT,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
AMT,CL,Total Biomass,9420.47,
AMT,CL,DiversityIndex,1.201,
AMT,CL,Fungi:Bacteria,0.5938,
AMT,CL,Predator:Prey,ALL PREY,
AMT,CL,Gram(+):Gram(-),0.3468,
AMT,CL,Sat:Unsat,0.8524,
AMT,CL,Mono:Poly,3.3676,
AMT,CL,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
AMT,CL,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
AMT,MO,Total Biomass,6030.42,
AMT,MO,DiversityIndex,1.224,
AMT,MO,Fungi:Bacteria,0.4898,
AMT,MO,Predator:Prey,ALL PREY,
AMT,MO,Gram(+):Gram(-),0.3245,
AMT,MO,Sat:Unsat,0.7071,
AMT,MO,Mono:Poly,4.8815,
AMT,MO,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
AMT,MO,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
JER,LA,Total Biomass,1635.48,
JER,LA,DiversityIndex,1.28,
JER,LA,Fungi:Bacteria,0.1439,
JER,LA,Predator:Prey,ALL PREY,
JER,LA,Gram(+):Gram(-),1.0226,
JER,LA,Sat:Unsat,3.5021,
JER,LA,Mono:Poly,ALL MONO,
JER,LA,Pre 16:1w7c:cy17:0,NONE FOUND,
JER,LA,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
JER,DA,Total Biomass,4023.55,
JER,DA,DiversityIndex,1.067,
JER,DA,Fungi:Bacteria,0.3665,
JER,DA,Predator:Prey,ALL PREY,
JER,DA,Gram(+):Gram(-),0.1869,
JER,DA,Sat:Unsat,0.5764,
JER,DA,Mono:Poly,11.5144,
JER,DA,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
JER,DA,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
JER,PT,Total Biomass,1309.09,
JER,PT,DiversityIndex,1.367,
JER,PT,Fungi:Bacteria,0.2837,
JER,PT,Predator:Prey,ALL PREY,
JER,PT,Gram(+):Gram(-),0.7579,
JER,PT,Sat:Unsat,2.2464,
JER,PT,Mono:Poly,15.4441,
JER,PT,Pre 16:1w7c:cy17:0,NONE FOUND,
JER,PT,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
JER,CL,Total Biomass,5682.48,
JER,CL,DiversityIndex,1.117,
JER,CL,Fungi:Bacteria,0.8475,
JER,CL,Predator:Prey,ALL PREY,
JER,CL,Gram(+):Gram(-),0.1748,
JER,CL,Sat:Unsat,0.3912,
JER,CL,Mono:Poly,3.4476,
JER,CL,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
JER,CL,Pre 18:1w7c:cy19:0,249.084,
JER,MO,Total Biomass,5586.15,
JER,MO,DiversityIndex,1.257,
JER,MO,Fungi:Bacteria,0.3225,
JER,MO,Predator:Prey,0.0081,
JER,MO,Gram(+):Gram(-),0.3769,
JER,MO,Sat:Unsat,1.0826,
JER,MO,Mono:Poly,9.0215,
JER,MO,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
JER,MO,Pre 18:1w7c:cy19:0,48.689,
VOL,LA,Total Biomass,6177.13,
VOL,LA,DiversityIndex,1.195,
VOL,LA,Fungi:Bacteria,0.4836,
VOL,LA,Predator:Prey,ALL PREY,
VOL,LA,Gram(+):Gram(-),0.3091,
VOL,LA,Sat:Unsat,0.5797,
VOL,LA,Mono:Poly,6.1222,
VOL,LA,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
VOL,LA,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
VOL,DA,Total Biomass,2154.13,
VOL,DA,DiversityIndex,1.038,
VOL,DA,Fungi:Bacteria,0.4969,
VOL,DA,Predator:Prey,ALL PREY,
VOL,DA,Gram(+):Gram(-),0.1566,
VOL,DA,Sat:Unsat,0.5658,
VOL,DA,Mono:Poly,4.632,
VOL,DA,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
VOL,DA,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
VOL,PT,Total Biomass,17100.12,
VOL,PT,DiversityIndex,1.126,
VOL,PT,Fungi:Bacteria,0.9469,
VOL,PT,Predator:Prey,0.0019,
VOL,PT,Gram(+):Gram(-),0.2789,
VOL,PT,Sat:Unsat,0.5145,
VOL,PT,Mono:Poly,4.6667,
VOL,PT,Pre 16:1w7c:cy17:0,ALL PRE 16:1,
VOL,PT,Pre 18:1w7c:cy19:0,ALL PRE 18:1,
VOL,CL,Total Biomass,9375.5,
VOL,CL,DiversityIndex,1.031,
VOL,CL,Fungi:Bacteria,1.3917,
VOL,CL,Predator:Prey,ALL PREY,
VOL,CL,Gram(+):Gram(-),0.2397,
VOL,CL,Sat:Unsat,0.441,
